n_angles,fbp_ssim,fbp_psnr,fbp_mse,fbp_re,unet_ssim,unet_psnr,unet_mse,unet_re
45,0.6086105704307556,27.643434524536133,0.0017205070471391082,0.19663068652153015,0.9537636637687683,38.3660888671875,0.00014567696780432016,0.057216133922338486
45,0.6202214360237122,27.85515594482422,0.0016386427450925112,0.17480343580245972,0.9509223103523254,38.56817626953125,0.00013905356172472239,0.050921227782964706
45,0.6365121006965637,28.4404239654541,0.0014320479240268469,0.17410798370838165,0.9516596794128418,38.6982536315918,0.00013495044549927115,0.05344746261835098
45,0.6196882724761963,28.125064849853516,0.0015399034600704908,0.19695939123630524,0.955906093120575,38.70671844482422,0.00013468763791024685,0.058249715715646744
45,0.6227492094039917,27.995830535888672,0.0015864147571846843,0.17515511810779572,0.9518693685531616,38.715003967285156,0.00013443105854094028,0.05098756402730942
45,0.6454707980155945,28.6839542388916,0.0013539557112380862,0.17281556129455566,0.9536619782447815,38.94490432739258,0.0001274998066946864,0.05303167924284935
45,0.6284798383712769,28.53076171875,0.0014025673735886812,0.1970573365688324,0.9575352668762207,39.06966018676758,0.00012388922914396971,0.05856626480817795
45,0.6450583934783936,28.595182418823242,0.001381915993988514,0.17281606793403625,0.9543201327323914,38.918453216552734,0.00012827871250919998,0.052652690559625626
45,0.6227408647537231,28.340551376342773,0.0014653613325208426,0.1982264220714569,0.957492470741272,38.99312210083008,0.00012609208351932466,0.058147769421339035
45,0.646062433719635,28.711217880249023,0.0013454828877002,0.17425537109375,0.9544274806976318,38.98472595214844,0.00012633604637812823,0.05339624360203743
45,0.6237925291061401,28.336008071899414,0.0014668949879705906,0.19882766902446747,0.9582866430282593,39.06656265258789,0.00012397769023664296,0.05780283361673355
45,0.6439799070358276,28.77312660217285,0.0013264389708638191,0.17617236077785492,0.9551101922988892,39.06736373901367,0.00012395481462590396,0.05385497957468033
45,0.6189117431640625,28.121694564819336,0.0015410988125950098,0.19953759014606476,0.9558101892471313,38.826446533203125,0.00013102538650855422,0.05818181112408638
45,0.6313924789428711,28.2546443939209,0.0014946359442546964,0.16972103714942932,0.951249361038208,38.9997673034668,0.00012589918333105743,0.04925829917192459
45,0.6364690065383911,28.5030574798584,0.0014115432277321815,0.17824527621269226,0.95391845703125,38.787593841552734,0.0001322026364505291,0.054549530148506165
45,0.6209299564361572,28.163990020751953,0.0015261629596352577,0.20036786794662476,0.9566279649734497,38.851295471191406,0.00013027772365603596,0.058541350066661835
45,0.6318973302841187,28.338878631591797,0.0014659264124929905,0.17775043845176697,0.9531076550483704,38.678245544433594,0.00013557373313233256,0.05405580997467041
45,0.6135646104812622,27.917226791381836,0.00161538936663419,0.2001078873872757,0.954877495765686,38.57059097290039,0.00013897627650294453,0.058694303035736084
45,0.6315343379974365,28.329957962036133,0.0014689397066831589,0.17830853164196014,0.9541611671447754,38.7547607421875,0.000133205991005525,0.05369477719068527
45,0.6072096824645996,27.576757431030273,0.0017471256433054805,0.20070533454418182,0.9516212940216064,38.24540710449219,0.00014978180115576833,0.05876603350043297
45,0.6362226605415344,28.481369018554688,0.0014186098705977201,0.1780897080898285,0.9542157649993896,38.80222702026367,0.00013175804633647203,0.05427450314164162
45,0.6182587146759033,28.142166137695312,0.0015338518423959613,0.20360694825649261,0.9562439918518066,38.83751678466797,0.00013069175474811345,0.059432633221149445
45,0.6385781764984131,28.59462547302246,0.0013820930616930127,0.17908331751823425,0.9542980194091797,38.87309646606445,0.0001296253758482635,0.05484430119395256
45,0.6092107892036438,27.564861297607422,0.0017519185785204172,0.20067563652992249,0.9523102045059204,38.22121810913086,0.00015061837621033192,0.058840539306402206
45,0.6426249742507935,28.610136032104492,0.0013771656667813659,0.1729622781276703,0.9537479877471924,38.91222381591797,0.00012846282334066927,0.052825916558504105
45,0.6407305002212524,28.726726531982422,0.0013406866928562522,0.1790582686662674,0.9550108909606934,38.943721771240234,0.00012753446935676038,0.05522611364722252
45,0.6082276701927185,27.53504753112793,0.00176398572511971,0.2014322578907013,0.9522674083709717,38.19121551513672,0.00015166254888754338,0.05906369537115097
45,0.6128079891204834,27.777179718017578,0.0016683300491422415,0.20259644091129303,0.9546042084693909,38.3923225402832,0.00014479964738711715,0.059686288237571716
45,0.6183227896690369,27.950056076049805,0.0016032243147492409,0.20087070763111115,0.9549480676651001,38.5315055847168,0.00014023270341567695,0.05940788984298706
45,0.6187722086906433,28.07170867919922,0.0015589388785883784,0.20212635397911072,0.9547535181045532,38.65973663330078,0.00013615278294309974,0.059734005481004715
45,0.6126531362533569,27.78666114807129,0.0016646909061819315,0.20317190885543823,0.951710045337677,38.41880798339844,0.0001439192274119705,0.059738773852586746
45,0.6025921106338501,27.345069885253906,0.0018428622279316187,0.2045804262161255,0.9496813416481018,37.95197677612305,0.00016025161312427372,0.06032798811793327
45,0.6011767983436584,27.413043975830078,0.0018142429180443287,0.2068743258714676,0.9510543346405029,38.074920654296875,0.00015577861631754786,0.06061956286430359
45,0.6015098690986633,27.460214614868164,0.0017946446314454079,0.2067391723394394,0.9520838260650635,38.027427673339844,0.00015749149315524846,0.06124379485845566
45,0.6080202460289001,27.727886199951172,0.0016873735003173351,0.2053235024213791,0.952643632888794,38.239227294921875,0.00014999507402535528,0.06121693179011345
45,0.63071209192276,28.212343215942383,0.0015092650428414345,0.16859737038612366,0.9515029788017273,38.93390655517578,0.00012782301928382367,0.049065086990594864
45,0.6114417314529419,27.973995208740234,0.0015944113256409764,0.20559795200824738,0.9538754820823669,38.47370529174805,0.0001421115011908114,0.06138089299201965
45,0.6073770523071289,27.89466094970703,0.001623805146664381,0.20598426461219788,0.9541012644767761,38.54188537597656,0.00013989787839818746,0.06046062707901001
45,0.6168212890625,28.267574310302734,0.001490193186327815,0.20549309253692627,0.9563038349151611,38.78724670410156,0.00013221331755630672,0.061208754777908325
45,0.6001173257827759,27.514734268188477,0.0017722556367516518,0.20356562733650208,0.9516993165016174,38.02247619628906,0.00015767109289299697,0.06071797385811806
45,0.604451060295105,27.65094757080078,0.0017175332177430391,0.20249688625335693,0.9520012140274048,38.18342971801758,0.00015193468425422907,0.0602274164557457
