slice,psnr_fbp,ssim_fbp,psnr_pnp,ssim_pnp
111,31.135233709151144,0.7636691469415426,38.813824060780405,0.9545471039743424
112,32.313604637271226,0.7956433617606163,39.905883370835994,0.9610772550964356
113,31.524388388088703,0.7721037112833857,39.228707600172726,0.9573673001346588
114,31.58099952757479,0.7763311352422834,39.25894447537036,0.9587043930883408
115,31.483420276924626,0.775912865398705,39.006912662157376,0.95570112362957
116,31.78456110495455,0.7838836061267257,39.21616851557573,0.9565699078903198
117,31.367779226752297,0.7730926680019498,38.69069411775067,0.9532378253412247
118,31.358878551508404,0.7735268003897071,38.60597554537734,0.9531396630878448
119,31.832705803478074,0.7860361872113943,39.114530178117654,0.9569050101556777
120,31.739055923548417,0.7825130216741562,38.99500576916659,0.9557473798217774
121,31.923921847218374,0.7864112322526574,39.185077691163734,0.9570268575382233
122,31.633519334221667,0.7760672326990365,39.0183195653882,0.9562401783943176
123,31.70724599108039,0.7762081450865269,39.05554769632079,0.9569269069824219
124,32.07917573926214,0.7861397642214895,39.41950724149867,0.9589775460014344
125,35.79641313775717,0.8545022167431117,42.65108451799841,0.9734974328956604
126,32.09159119215541,0.7859234791660309,39.36598657936844,0.9586783909845352
127,31.660741485698168,0.7753638293685913,39.016155379915354,0.9566254960289001
128,31.90539175707052,0.7828800520131588,39.22545983806347,0.9578032829828262
129,31.603870919965274,0.7752051800053119,38.96269691721283,0.9562238060798645
130,31.6901440749331,0.7797096887920499,39.04913247994726,0.9577715715179443
131,31.94533645237655,0.7876577032330632,39.30959778344006,0.9595392539491654
132,32.10951508023476,0.7927986577113867,39.51417276966374,0.9606120847206115
133,32.378623288390635,0.8001079584531188,39.78982529705573,0.9617674612951279
134,32.16562663283263,0.7942572722637952,39.749811653201846,0.9620531418552398
135,32.0545744434351,0.7906972131593227,39.737370681718865,0.9619987927236557
136,31.58849082762434,0.7767334997056424,39.232326891034354,0.9587635605506897
137,32.055026495291955,0.791107301261425,39.66848198878609,0.9610729434728622
138,31.951145013158495,0.7887395605689586,39.57778900253315,0.9604195628032685
139,32.118559166179786,0.7919270159112811,39.744405751012366,0.9611885222454071
140,32.04781015399044,0.7910776880130321,39.70018720800145,0.9605298112707138
141,32.04248062996638,0.7909041723033488,39.62602254006582,0.9593668855104447
142,34.352418017079394,0.8432159663053751,41.33259940910487,0.9689710317697525
143,35.90772698392564,0.8720376165889502,42.25317489841912,0.9734247741680145
144,35.93879826757166,0.8749338827930689,42.04770524529113,0.9725460998697281
145,35.85271088687386,0.8736365531624556,41.90539552373757,0.9719269207267761
146,35.85698345316183,0.8731469851250648,42.07637490068598,0.9723053584394455
147,35.766614767355364,0.8525055462937355,42.648788807730675,0.9733267885112763
148,35.99554829823375,0.8756422003679275,42.228130934486636,0.9726161175384521
149,36.07937286178453,0.8791754834088087,42.135147616784096,0.9721942238111496
150,36.021890494940564,0.8778307522513866,41.833041750887276,0.9718077807149887
151,36.03027364725835,0.877463030531168,41.91337724192348,0.9723092133607865
152,36.01923713232104,0.8762697641819716,42.20039117968686,0.9727764435815811
153,36.13341583153497,0.8789075356811284,42.240481757519454,0.972875469877243
154,36.17028466570759,0.8805393747932911,42.054314668817874,0.9720901889829635
155,36.15164808600095,0.8807412674697638,42.02968741714778,0.9717968270320892
156,36.11210342720837,0.877919842813611,42.10835782356395,0.9716710543804169
157,36.13012526439947,0.8773869430456162,42.272583719680405,0.9724942393503189
158,31.535355805455435,0.7731499612814784,39.182807908417566,0.957804425160408
159,36.14324626674161,0.8781242751871348,42.2673065791765,0.9724447019033432
160,36.14144237140329,0.8777779313508273,42.14810758214622,0.9721776062450409
161,36.26477941645189,0.8804993250775337,42.355222321276365,0.9726883332562447
162,35.21937408855782,0.8603529991885424,41.77723279111569,0.9697260475282669
163,32.936077418179,0.8122124918602704,40.45157462588831,0.9623650203323364
164,33.1289660198196,0.8174843580858111,40.73418171652705,0.9639096651849747
165,32.669490606316415,0.8068827687871456,40.375665780241775,0.9620506282691955
166,32.73847404673804,0.8088112549695372,40.52601886425951,0.9638186376104355
167,32.33690303984197,0.8000624407135845,40.298789589109305,0.9635203127756119
168,32.37886386343137,0.8000496932743788,40.340710915830286,0.964028677145958
169,35.763186850610694,0.852082296058774,42.772991581296516,0.9735181910028458
170,32.52023690492021,0.8023596292667985,40.49223032641366,0.9650800106973648
171,32.60766887564038,0.8030386022748351,40.62481955653615,0.9652743375873566
172,32.504280026432816,0.8012986539828479,40.57703996272113,0.9648188629941941
173,32.338898384550596,0.7981288553842604,40.405932883551955,0.9636018023529053
174,32.58321254067274,0.8050757100272775,40.65709494945855,0.9647140626163483
175,32.835062802201215,0.8108589525633753,40.978341769318696,0.9665957435922623
176,32.85515791637631,0.810646911009103,40.95997818549933,0.966503184638977
177,32.64273936941758,0.8065135472109913,40.65918969890432,0.9649397020902634
178,32.72055701025381,0.8086899731100201,40.69218851684234,0.9644968986749649
179,32.72312193097233,0.8092944914738238,40.7489124119794,0.9640232539396286
180,31.686288657686767,0.7765515456151069,39.26854192202395,0.958241084610939
181,32.650100276816126,0.8072726975871325,40.681825239255566,0.9631489139738083
182,32.60002795742453,0.8075081659559011,40.59455375765686,0.9627171922664642
183,32.28206411158194,0.7976563452705443,40.34576801887857,0.9605904458551406
184,32.21513884106357,0.7961277800595462,40.28795221126959,0.9602286064739227
185,32.085056275716575,0.7918777112061083,40.149680281679224,0.958931352883339
186,31.82083672039926,0.7850310588496924,39.84398505713945,0.9563840744438171
187,31.83617860535866,0.784106768797487,39.82094432868395,0.9556182279129029
188,32.97330904359721,0.8126140428116322,40.87033929839268,0.961853827504158
189,33.866860068365014,0.8338621707449555,41.35777589200838,0.9646802195119858
190,33.47791164833015,0.8232415237151385,41.1207686961984,0.9628746333198548
191,35.54191050996032,0.8454006228208542,42.56287144731335,0.9726553438682556
192,33.00094982418419,0.8112660469307601,40.71481203913749,0.9599974252214432
193,33.037759632446935,0.8111426162950397,40.76230552616707,0.9597475150222778
194,33.113202777576774,0.8129826674295664,40.788688807992614,0.9597285266933441
195,33.82243990392005,0.8296169178260565,41.41355859020294,0.9631384301424026
196,33.85339039162752,0.8290848612204194,41.44068160538255,0.9630755326881408
197,33.686146213921766,0.8252680185267925,41.277347670943776,0.9618595808877944
198,34.00659362108232,0.8328633358846307,41.451509368861295,0.9629097964344024
199,33.9013946186776,0.8314166300693154,41.30364769887309,0.9619347715148926
200,33.000019880809404,0.8100587127913237,40.64744980524314,0.9572235827522277
201,32.37711947062212,0.7938367943556011,40.02991261900287,0.9526414382219315
202,31.73723680117238,0.7780728072631657,39.2232920430078,0.958272968911171
203,32.29671073433268,0.7915097682566047,39.97621137705381,0.9524784672689438
204,32.34704411407365,0.7911802593968809,40.016618546918714,0.9525642534704208
205,32.40278169694,0.7935322282027006,40.08527770183388,0.9522763266239166
206,32.202607111433416,0.7877299650554359,39.877677268376694,0.9507894336042404
207,32.31731892710624,0.7919207879188657,40.0025453271838,0.9518069213953018
208,32.64551515985282,0.800083871266365,40.241579651394595,0.953323776014328
209,32.395554301303974,0.7945952369925976,39.93904268203065,0.9513066695604324
210,32.667789983121544,0.8006511567991674,40.285663433917605,0.9536921881332397
211,32.587658158314305,0.7977285367359817,40.200286023709126,0.9522166709823608
212,33.080187391988986,0.8090247103075683,40.667302232038764,0.9552573734569549
213,35.42417930945456,0.8433432560045719,42.33784814376473,0.972161366364479
214,33.24611484038545,0.8133095811291337,40.839827643007006,0.956139645283699
215,32.993764460063076,0.8052142339146733,40.56971257919943,0.9537244734640121
216,32.8641030729123,0.8019566384993791,40.46076989985916,0.9528802850694656
217,32.75011982443284,0.7988016974762976,40.223496621360006,0.9511664666900634
218,32.61773644181187,0.7957474800209104,40.02752657337521,0.9488832511987686
219,32.36450100196018,0.7899843949844241,39.694925212277575,0.946529590675354
220,32.42430672324396,0.7927567257949114,39.79819981466757,0.9469167854452133
221,32.58499084292314,0.7971678886733949,40.0687497136236,0.9481962557392121
222,33.038566303576744,0.8089436403579712,40.57190998295644,0.9522069856061935
223,34.543790881262346,0.8444325527345539,41.72589118495968,0.9606171518554687
224,31.874019769977487,0.7748612366358042,40.572438227721705,0.9643382064819336
225,31.90003183926049,0.7822469054302871,39.374596834751266,0.9588188749427795
226,34.67585224653021,0.8461448059610128,41.79577972984114,0.9609029465522766
227,34.12627644260625,0.8338630106227994,41.43090748850553,0.9587751598491668
228,32.347343109008555,0.7876808977121115,39.82391624094669,0.9470471195783615
229,32.66313027218371,0.7950028169074058,40.21931819041441,0.949794423283577
230,32.516289083117854,0.7927896298075915,39.969386411271785,0.9474251296539307
231,32.697576902884485,0.7991933180314601,40.253412870069816,0.950170192062378
232,32.76569419514225,0.8012348235975802,40.26512188688646,0.9501490931882858
233,32.895554234423365,0.804940409496814,40.41323290163124,0.952203890282631
234,33.229332394334946,0.8126859702757895,40.90803880321056,0.9561736896848678
235,32.906078621939436,0.802833966234088,40.655009898801325,0.9539566592798233
236,35.344015892813346,0.8415417888207436,42.1260572716892,0.9718438575992584
237,32.710003904392934,0.7973624842588305,40.505425505923014,0.9529183177890778
238,32.96108819633281,0.8045908612860739,40.84287343085979,0.9561820432138443
239,32.677138341637615,0.7967291321894825,40.60043784715296,0.953931040760994
240,32.83975446441686,0.8018858077321649,40.72311219921404,0.9542155277776718
241,32.929305026483775,0.8038784776372909,40.827757447209336,0.9549389518451691
242,32.76250789711345,0.7994656330946683,40.797363811277805,0.954846716597557
243,33.00101679807993,0.8073798319975733,40.97414593973171,0.9565370175733566
244,32.92999512199319,0.8056043974997997,40.97103881974551,0.9563697208127976
245,33.17794170549617,0.8126359864583611,41.21950001668509,0.9582373790445328
246,33.19341190726043,0.8128948861931562,41.23848283658974,0.9588589874935151
247,31.81868902896256,0.7816662105371058,39.27625247865044,0.9579821681604386
248,33.07572825072875,0.8105479401604533,41.10158027532329,0.9578428618850708
249,33.22334416577493,0.812182370477438,41.35649580327953,0.9587822018442154
250,33.33936598208825,0.8169331422942281,41.334655618788396,0.9584003854370117
251,33.45737815522813,0.8190222883950472,41.38548809438685,0.9593685500383377
252,33.44313004884995,0.8191633088180422,41.33492742718505,0.9594023753623963
253,33.401585532203434,0.8180874196835161,41.18208002738729,0.9578194276781082
254,33.3527116007303,0.8158969094081521,41.102887241287114,0.957279324309349
255,35.35173220815203,0.8425421597745418,42.09653451333122,0.9715187081127167
256,31.751164116177154,0.7798871755315363,39.32765691078072,0.9576195449991226
257,35.39646759837538,0.8455055584741235,42.04323523131535,0.9714876437864304
258,31.764993554062336,0.7816352717499137,39.3242715179004,0.9569976467342377
259,35.39262375465465,0.8462005577191114,41.972099030461855,0.9712246161851883
260,31.528986845908108,0.777057990694046,39.118560939689814,0.9559132635583878
261,35.41286717750639,0.8496792439267635,41.95864710006458,0.9711405841903686
262,31.72315735201298,0.7786721515242755,39.411482528920835,0.9577025837097168
263,31.586996287134124,0.7786788483932913,39.086795183068006,0.9562823362817764
264,35.523958848124735,0.8534816355968118,42.1662103412877,0.971916831029892
265,32.40143712784416,0.7989017665490508,39.60310220198132,0.9596953395433426
266,35.64669829058003,0.8566414912053346,42.27293925619029,0.9721199917793274
267,32.92212002210726,0.8107763682749272,39.876935244195025,0.9611982485485077
268,35.61490680810002,0.8579132908234596,42.15308491204568,0.9715457693853379
269,31.564436271908342,0.7765821943172813,38.942296408780976,0.9559864352388382
270,35.42968783428594,0.8542661003745198,42.07145447770266,0.9707116139011384
271,31.21682539624022,0.7678753050899506,38.5601322646881,0.9536538338623047
272,35.37243132783912,0.8536195971872806,42.06593700135791,0.97058151937294
273,32.00350554953672,0.7775854554877579,40.624083186396746,0.964424792640686
274,31.158541551298736,0.7662251809304953,38.538893068574176,0.9526764712800979
275,34.76870222927539,0.8415120121418834,41.73585485143067,0.9692419611911773
276,31.237593765866407,0.7682535872139931,38.673468001058694,0.9528040044002533
277,31.725671712240878,0.7693027382906527,39.64839243951123,0.9589301283569336
278,31.117821278406645,0.7636156138207912,38.60788709217134,0.9517496953678131
279,31.712810394045498,0.7682071323004067,39.71946038292508,0.9592334316654205
280,30.95435595167975,0.7584068936459124,38.42560888125077,0.9492877540903092
281,31.730627578025185,0.7690284545886219,39.84601777849318,0.9596478178157807
282,31.404570266053312,0.7701356018870771,38.908123201799455,0.9524785417423248
283,31.855703734465987,0.774207939196229,39.83472428721312,0.9602906286296844
284,31.47420067285217,0.7725301610405743,39.1166062499726,0.9552122421894074
285,31.223314559438332,0.7636683965912759,38.785455623122466,0.9513247263698578
286,32.297682401609904,0.7842628890728056,40.06395946064992,0.961898166352272
287,31.16150805071817,0.7619334240054488,38.74955914243792,0.9507334905805588
288,34.98292066886221,0.8479802092366815,41.73365811591619,0.9694021029720307
289,31.152810131078166,0.7638368800132572,38.664222167589244,0.9510478074092865
290,35.46799340245269,0.8576271761163473,41.963024593484626,0.9705573471689224
291,31.37772822301102,0.7699970921481848,38.84131960010917,0.9526527398033142
292,35.51150680815336,0.8575488853839636,41.87692000883758,0.9699369884881973
293,31.663549004764377,0.776921454391241,39.17333143722923,0.9545001692533494
294,35.41401771727347,0.8556106752479077,41.79418373260152,0.9696038055934906
295,31.6975079432043,0.7679090687637627,40.31994974855304,0.9624792426462173
296,31.4944341074295,0.7738678116170168,38.9514281606281,0.9533395226163864
297,35.21175998025684,0.8530466803410053,41.62954914671825,0.9690102396383286
298,31.334588699960698,0.7706413090167642,38.77530474675294,0.9528075874490738
299,35.26700145399324,0.8536864315927625,41.4983149104053,0.9683366615600586
300,31.168831508811042,0.766056626065433,38.67327240156343,0.9528342604188919
301,35.275331582375756,0.8526468266266585,41.294976040798865,0.9674199212360383
